protein_id,helix_ref,beta_ref,helix_avg,beta_avg,helix_best,beta_best,rmsd_best,n_ensemble
2ECK_B,0.4158878504672897,0.14018691588785046,0.10018691588785048,0.022710280373831767,0.12149532710280374,0.037383177570093455,17.089305877685547,50
4AKE_B,0.45794392523364486,0.14018691588785046,0.0505607476635514,0.028598130841121495,0.0,0.018691588785046728,17.745817184448242,50
1GH1-7_A,0.5222222222222223,0.0,0.6248888888888888,0.0,0.6333333333333333,0.0,2.186387538909912,50
1AJ7_H,0.0,0.4724770642201835,0.0007373271889400922,0.5297695852534562,0.0,0.5529953917050692,4.944273948669434,50
2RS9-13_B,0.5785123966942148,0.0,0.5841322314049586,0.0,0.5785123966942148,0.0,2.821685791015625,50
1F3Y-17_A,0.21212121212121213,0.2787878787878788,0.21393939393939398,0.3042424242424242,0.23636363636363636,0.2606060606060606,5.23256254196167,50
1EEJ_B,0.37962962962962965,0.2175925925925926,0.37425925925925924,0.20814814814814817,0.36574074074074076,0.2037037037037037,1.9017252922058105,50
2UZ5-9_A,0.18248175182481752,0.291970802919708,0.17153284671532848,0.3135766423357664,0.1897810218978102,0.31386861313868614,2.464923858642578,50
1XSC-20_A,0.22875816993464052,0.24836601307189543,0.1311111111111111,0.3649673202614379,0.21568627450980393,0.37254901960784315,2.6565804481506348,50
2LAO_A,0.3403361344537815,0.21428571428571427,0.32445378151260507,0.24747899159663866,0.31512605042016806,0.24789915966386555,2.226335048675537,50
1EX7_A,0.19899244332493704,0.0982367758186398,0.41107526881720424,0.22311827956989244,0.43010752688172044,0.22580645161290322,1.7790358066558838,50
2K0G-9_A,0.36619718309859156,0.2323943661971831,0.3583098591549295,0.24591549295774648,0.352112676056338,0.24647887323943662,3.301647901535034,50
1ORM-9_A,0.0,0.0945945945945946,0.0,0.694189189189189,0.0,0.6891891891891891,4.90169095993042,50
2OZW-3_A,0.208,0.304,0.01872,0.32752,0.032,0.352,3.4311981201171875,50
1O03_A,0.1504,0.0368,0.04108597285067873,0.10289592760180995,0.16289592760180996,0.11764705882352941,1.8458595275878906,50
2KID-4_A,0.02702702702702703,0.3581081081081081,0.024729729729729734,0.3824324324324324,0.02702702702702703,0.3918918918918919,2.1437389850616455,50
1W4U-9_A,0.272108843537415,0.11564625850340136,0.2616326530612245,0.17986394557823132,0.2653061224489796,0.17687074829931973,2.1543166637420654,50
1XYD-15_B,0.5869565217391305,0.0,0.6358695652173914,0.04086956521739131,0.6521739130434783,0.043478260869565216,2.607448101043701,50
1SYM-2_B,0.5760869565217391,0.043478260869565216,0.6347826086956522,0.034782608695652174,0.5978260869565217,0.043478260869565216,4.490363121032715,50
1WUM_A,0.5508474576271186,0.0,0.5801694915254237,0.0,0.5847457627118644,0.0,4.31826114654541,50
2JU3-3_A,0.11023622047244094,0.5905511811023622,0.12267716535433071,0.5892913385826772,0.12598425196850394,0.6062992125984252,2.793158531188965,50
1LMZ-9_A,0.5347593582887701,0.0213903743315508,0.5059893048128342,0.021390374331550804,0.5026737967914439,0.0213903743315508,2.757298707962036,50
2LKD-18_A,0.24719101123595505,0.11797752808988764,0.2631460674157303,0.2095505617977528,0.2808988764044944,0.21910112359550563,4.568021774291992,50
2CJO-5_A,0.14432989690721648,0.27835051546391754,0.15237113402061855,0.2993814432989691,0.16494845360824742,0.28865979381443296,1.4740595817565918,50
1MUT-11_A,0.11627906976744186,0.12403100775193798,0.11038759689922482,0.4091472868217053,0.10077519379844961,0.43410852713178294,3.7496814727783203,50
1KRX-4_A,0.4435483870967742,0.13709677419354838,0.26064516129032256,0.18258064516129033,0.29838709677419356,0.1774193548387097,2.9996395111083984,50
